temperature,humidity,Time,Temperature,Humidity,HeatIndex
,,2026-02-23 21:36:57.901482,22.1,67.0,22.11
,,2026-02-23 21:37:00.261774,22.1,67.0,22.11
,,2026-02-23 21:37:49.932767,22.1,67.0,22.11
,,2026-02-23 21:37:52.355805,22.1,67.0,22.11
,,2026-02-23 21:37:54.436356,22.1,67.0,22.11
,,2026-02-23 21:37:56.501938,22.1,67.0,22.11
,,2026-02-23 21:37:58.570329,22.1,67.0,22.11
,,2026-02-23 21:38:00.636858,22.1,67.0,22.11
,,2026-02-23 21:38:02.700890,22.1,67.0,22.11
,,2026-02-23 21:38:04.759430,22.1,67.0,22.11
,,2026-02-23 21:38:06.831629,22.0,67.0,22.0
,,2026-02-23 21:38:08.896099,22.1,67.0,22.11
,,2026-02-23 21:38:09.963729,22.1,67.0,22.11
,,2026-02-23 21:38:12.052353,22.1,67.0,22.11
,,2026-02-23 21:38:14.119244,22.2,69.0,22.28
,,2026-02-23 21:38:16.190713,22.4,72.0,22.58
,,2026-02-23 21:38:18.255808,22.6,76.0,22.9
,,2026-02-23 21:38:20.310755,23.1,81.0,23.58
,,2026-02-23 21:38:23.382085,23.6,83.0,24.18
,,2026-02-23 21:38:25.445964,24.0,85.0,24.67
,,2026-02-23 21:38:27.509456,24.3,87.0,25.06
,,2026-02-23 21:38:29.579326,24.4,88.0,25.19
,,2026-02-23 21:38:31.644722,24.4,88.0,25.19
,,2026-02-23 21:38:33.701457,24.4,89.0,25.22
,,2026-02-23 21:38:35.766417,24.3,89.0,25.11
,,2026-02-23 21:38:37.839338,24.2,89.0,25.0
,,2026-02-23 21:38:39.905719,24.2,89.0,25.0
,,2026-02-23 21:38:41.968209,24.1,90.0,24.92
,,2026-02-23 21:38:44.034426,24.1,90.0,24.92
,,2026-02-23 21:38:46.102751,24.0,90.0,24.81
,,2026-02-23 21:38:48.172299,23.9,90.0,24.7
,,2026-02-23 21:38:50.258677,23.9,90.0,24.7
,,2026-02-23 21:38:52.335681,23.8,90.0,24.59
,,2026-02-23 21:38:54.413204,23.8,90.0,24.59
,,2026-02-23 21:38:56.477958,23.7,90.0,24.48
,,2026-02-23 21:38:58.552622,23.6,90.0,24.37
,,2026-02-23 21:39:00.629766,23.6,90.0,24.37
,,2026-02-23 21:39:02.700661,23.5,90.0,24.26
,,2026-02-23 21:39:04.761961,23.5,90.0,24.26
,,2026-02-23 21:39:06.838325,23.4,90.0,24.15
,,2026-02-23 21:39:08.910860,23.4,90.0,24.15
,,2026-02-23 21:39:10.982200,23.3,90.0,24.04
,,2026-02-23 21:39:13.039200,23.3,90.0,24.04
,,2026-02-23 21:39:15.103005,23.2,90.0,23.93
,,2026-02-23 21:39:17.177090,23.2,90.0,23.93
,,2026-02-23 21:39:19.246488,23.1,90.0,23.82
,,2026-02-23 21:39:21.312413,23.1,90.0,23.82
,,2026-02-23 21:39:23.378091,23.0,90.0,23.71
,,2026-02-23 21:39:25.445724,23.0,90.0,23.71
,,2026-02-23 21:39:27.543856,23.0,90.0,23.71
,,2026-02-23 21:39:28.606985,22.9,89.0,23.57
,,2026-02-23 21:39:30.670702,22.9,89.0,23.57
,,2026-02-23 21:39:32.736853,22.8,89.0,23.46
,,2026-02-23 21:39:34.830154,22.8,89.0,23.46
,,2026-02-23 21:39:36.907389,22.8,89.0,23.46
,,2026-02-23 21:39:38.971950,22.8,88.0,23.43
,,2026-02-23 21:39:41.036031,22.7,88.0,23.32
,,2026-02-23 21:39:43.102586,22.7,88.0,23.32
,,2026-02-23 21:39:45.169369,22.7,88.0,23.32
,,2026-02-23 21:39:47.233138,22.7,88.0,23.32
,,2026-02-23 21:39:49.296844,22.7,87.0,23.3
,,2026-02-23 21:39:51.365385,22.6,87.0,23.19
,,2026-02-23 21:39:53.443324,22.6,87.0,23.19
,,2026-02-23 21:39:55.504850,22.6,87.0,23.19
,,2026-02-23 21:39:57.569245,22.6,86.0,23.16
,,2026-02-23 21:39:59.633370,22.6,86.0,23.16
,,2026-02-23 21:40:01.767443,22.6,86.0,23.16
,,2026-02-23 21:40:03.830059,22.5,86.0,23.05
,,2026-02-23 21:40:05.892599,22.5,85.0,23.02
,,2026-02-23 21:40:07.955544,22.5,85.0,23.02
,,2026-02-23 21:40:10.029482,22.5,85.0,23.02
,,2026-02-23 21:40:12.107324,22.5,84.0,23.0
,,2026-02-23 21:40:14.174780,22.5,84.0,23.0
,,2026-02-23 21:40:16.239783,22.5,84.0,23.0
,,2026-02-23 21:40:18.305953,22.5,84.0,23.0
,,2026-02-23 21:40:20.372477,22.4,83.0,22.86
,,2026-02-23 21:40:22.469093,22.4,83.0,22.86
,,2026-02-23 21:40:24.534448,22.4,83.0,22.86
,,2026-02-23 21:40:26.595533,22.4,82.0,22.84
,,2026-02-23 21:40:28.666496,22.4,82.0,22.84
,,2026-02-23 21:40:29.753758,22.4,82.0,22.84
,,2026-02-23 21:40:31.827115,22.4,81.0,22.81
,,2026-02-23 21:40:33.897867,22.4,81.0,22.81
,,2026-02-23 21:40:35.962336,22.4,81.0,22.81
,,2026-02-23 21:40:38.025301,22.4,80.0,22.78
,,2026-02-23 21:40:40.090471,22.4,80.0,22.78
,,2026-02-23 21:40:42.158747,22.4,80.0,22.78
,,2026-02-23 21:40:44.225522,22.4,80.0,22.78
,,2026-02-23 21:40:46.280397,22.4,79.0,22.76
,,2026-02-23 21:40:48.348624,22.4,79.0,22.76
,,2026-02-23 21:40:50.412082,22.4,79.0,22.76
,,2026-02-23 21:40:52.475958,22.4,78.0,22.73
,,2026-02-23 21:40:54.563892,22.4,78.0,22.73
,,2026-02-23 21:40:56.633432,22.4,78.0,22.73
